site,C10_0,C11_0,C12_0,C13_0,iC14_0,aC14_0,C14_0,iC15_0,aC15_0,2OH-C10_0,C14_1n5,C16_0br,C15_0,C16_0br1,iC16_0,aC16_0,C15_1,C17_0br,C16_1w5t,C16_0,C16_1w5c,C17_0br,C16_1n7t,C17_0br1,iC17_0,C16_1br,C16_1n7c,C16_1n9c,aC17_0,C18_0br,2OH-C12_0,C18_0br,C17_0,C17_1br,C18_0br1,iC18_0,me10C16_0,C17_1br1,C17_1,aC18_0,C18_0,C19_0br,C19_0br1,C18_1n9t,3OH-C12_0,iC19_0,C18_1n9c,C18_1ntc_1,aC19_0,C20_0br,C18_1ntc_2,C18_2n6t,2OH-C14_0,C18_2n6c,me10C18_0,C19_1br,C18_3n6c,C20_0,3OH-C14_0,C18_3n3,2OH-C16_0,C20_1,C21_0,C20_2n6,C20_3n6c,C22_0,C20_3n3c,C20_4n6c,C22_1,C23_0,c22_2,C20_5n3,C24_0,C24_1,C25_0,C26_0,C22_6n3c,C27_0,C28_0,C29_0,C30_0
SAT21,0,0,0.024503855,0,0.188814749,0,1.04184501,4.225339577,1.310873672,0.974444501,1.670323916,0.522694106,0.320305469,0.021223353,2.089671864,0.030541992,0.133443161,0.169455569,0.187933187,5.989597861,0.222174582,1.202106991,0.357404423,0.302201925,1.249011946,1.039628715,3.70588149,1.071345399,0.857243893,0.775872077,0.005384005,0.019921817,0.303616519,1.345822126,0.292354467,0.033227002,0.598149855,0.554179694,0.37685119,0.006041273,0.941287888,0.000204624,0.231634104,0.102589768,0,2.368929351,0.571754631,2.472975828,0.508080814,0.197694177,0.470157209,0.379310036,3.083797576,0.925123704,0.146384695,0.752619059,0.002670119,0.147038287,0.030936765,0.107382083,0.065299055,0,0.008494987,0,0,0.203105901,0,0.126071333,0,0.032146449,0,0,0.232975467,0,0.006817356,0.0431635,0,0.00119404,0.008091728,0,0
SAT22,0,0,0.029262097,0.005167687,0.357671354,0,1.810266055,5.160478681,1.835448633,1.354062381,2.357465509,0.676392865,0.425132008,0.034601224,2.337577268,0.030061905,0.128939001,0.172773423,0.177565339,9.181083609,0.175774217,2.127825624,0.435731177,0.197063573,1.696129633,1.473849307,6.191827946,1.081105062,1.136745665,0.804858528,0.001010145,0.015214016,0.373690924,1.91056612,0.245576475,0.03718157,1.028418321,0.759878098,0.815973365,0.006234036,1.184837842,0.009079571,0.208618986,0.190054126,0,2.998792343,0.647080304,4.504363609,0.926327419,0.481693989,0.46383236,0.418927194,3.25248034,1.432813842,0.06650637,1.141749456,0,0.177029401,0.129573408,0.005361696,0.081099761,0.000202029,0.007998213,0,0,0.211061617,0,0.063610614,0,0.048250422,0,0,0.294073947,0,0.007694402,0.06556355,0.000826964,0.000462052,0.012673979,0.000144498,0.000654107
SAT23,0,0,0,0,0.181720993,0,1.12392361,3.471586744,1.260042291,0,1.231787342,0.013648282,0.37197905,0.004835391,1.748149941,0.068974517,0.089201118,0.137489501,0.020121467,6.934222669,0.135624927,1.248562407,0.220634226,0.453721618,1.075242957,0.457958352,3.113212106,2.083585716,0.751786914,0.244631328,0.007354185,0.247261772,0.555799782,0.545214432,0.14119088,0.249323472,0.730149581,0.52045891,0,0.000639838,1.190240539,0.335365835,0.158985251,0,0,1.89609128,0.466374989,2.293590957,0.049151929,0.05097113,0.209485656,0,0,2.605160792,0.037582269,0.456097729,0,0.44271151,0.150849634,0.311594469,0.001613709,0.048963392,0.002880834,0,0,0.227618851,0.082563663,0.128946376,0,0.016653123,5.95E-05,0,0.170212453,0,0.000263241,0.042667271,0.001340613,0.000590156,0,0,0
SAT24,0,0,0.131987309,0,0.244492249,0,2.966188237,4.875313781,1.654062084,0,0.024390028,0.020299085,0.336524579,0.021111049,2.755641427,0.177711725,0,0.328106929,0.037999888,6.370864612,0.00820083,2.456344852,0.332742606,0.407781749,2.23682311,1.591448287,4.098141732,4.914976924,1.337818364,0.719654771,0.003425283,0.405532088,0.560259329,1.623944099,0.22804241,0.407456497,0.961068485,1.612292137,0,0.002220471,1.352415096,0.461395328,0,0,0,2.499663413,0.641388763,2.385242309,0.030324476,0.031439423,0.199355352,0,0,1.335143091,0.05879552,0.80104514,0,0.278482529,0.049228942,0.018492813,0.001680048,0.001007436,0.003765034,0,0,0.285156061,0.005626578,0.00920904,0,0.036975361,0,0.000892391,0.257832091,0.002570152,0.004385011,0.123521959,6.34E-05,0.001228835,0.013383524,0,0.002469621
SAT25,0,0,0.026619427,0,0.171325035,0,2.082891187,2.858066311,1.07747385,0.792492198,1.353646236,0.39299278,0.279741658,0.028927081,2.054621869,0.029505978,0.175119142,0.336574713,0.227980561,6.413346443,0.289270814,1.937812824,0.420960952,0.552658969,2.033504492,1.617519286,6.586025196,1.304195843,1.807056834,0.946876753,0.023596851,0.072842277,0.28556686,2.449355646,0.167173025,0.046983268,1.013472035,0.909860478,1.05536525,0.001092634,1.048637414,0.001657984,0.337607034,0.283666955,0.000297439,2.691530109,0.377477507,2.980810439,0.979039673,0.638724429,0.160133641,0.404428715,3.142304757,1.144320559,0.012355171,0.568070427,0,0.132172534,0.019748019,0.029821081,0.008503265,0.182231142,0,0,0,0.048079596,0,0.014903667,0,0,0,0,0.047919567,0,0,0.012140734,0.000249745,0.000302338,0.002634269,0,9.17E-05
SAT26,0,0,0,0,0.024648899,0,0.404398717,1.38035262,0.455561649,0,0.08396013,0.009516495,0.122432708,0.000865136,1.080318814,0.031850984,0,0.003213999,0,2.239014865,0.018089206,0.046757218,0.128354711,0.187474178,0.813352935,0.517980468,1.332152015,0.559978885,1.065619258,0.730412265,0,0.011255862,0.157490184,0.252934283,0.063663731,0.013119891,0.177900081,0.294566787,0,0.000645241,0.532251733,0.000815917,0.197247945,0,0,0.71678312,0.269115264,0.927354734,0.006935295,0.009116496,0.007683219,0,0,0.301449079,0.000405343,0.134542424,0,0.017198497,0.002073232,0,0.000464953,0.001366157,0,0,0,0.038058891,0.000722294,0.003568038,0,0,0,0,0.037092625,0,0.000424743,0.009641453,0,0.000595139,0.00244868,0,0.000631884
SAT27,0.009945638,0,0.018467453,0.000829795,0.054030371,0,0.777533523,2.04228437,0.668170476,0,0,0.001960957,0.208079635,0.005333804,1.60476905,0.127530207,0,0.237348714,0.017648616,2.505602639,0.081105196,1.046335904,0.022354914,0.118800872,0.704144981,0.387171417,1.19563491,0.293986725,1.056550558,0.61970414,0.003016969,0.072574097,0.216802339,0.728371319,0.186619108,0.074433138,0.234492936,0.394860595,0,0.000214505,0.577160704,0.274228371,0,0,0,0.848114303,0.328911573,0.557741165,0.003254936,0.003482083,0.006848928,0,0,0.18156843,0.033755618,0.246797432,0,0.048491227,0.006719976,0,0.001854835,0.002141075,0.002712447,0,0,0.083256835,0,0,0,0,0,0,0.070089838,0,0.002488687,0.00424521,0.000980593,0.000741934,0.000718273,0.000696075,9.00E-05
SAT28,0,0,0,0,0.043668601,0,0.451766479,1.955837384,0.576527301,0,0.032371355,0.068254283,0.163372724,0.015455376,1.420725008,0.088562554,0.039225541,0.233500901,0.080451498,3.570447465,0.063325271,1.047493265,0.11328373,0.142850741,1.124831332,0.727906445,1.590483518,1.57853693,1.213285268,0.455784413,0.005079079,0.049424241,0.334737443,0.840555607,0.136164165,0.072879813,0.384088748,0.262162521,0,0,0.598497861,0.214071647,0.082985264,0.010478545,0,0.911754544,0.398260107,1.091577957,0.001083359,0.001236225,0.75936211,0,0,0.65468152,0.066737664,0.302983961,0,0.073280675,0.015415659,0.034386465,0.000246942,0,0,0,0,0.104568004,0.010392592,0,0,0.00236636,0,0,0.093240492,0,0.00095874,0.004358036,6.53E-05,0.000158043,0.000612011,0,0
SAT29,0,0,0,0,0.154710317,0,1.148755258,2.553561709,0.835423471,0.628039302,1.060312378,0.298130843,0.228883143,0.007153854,1.616288756,0.010292262,0.068781558,0.143536562,0.126357963,4.557636826,0.146051157,1.319823259,0.463714434,0.429397671,1.431553124,1.130067815,3.649912465,0.997440182,1.074745733,0.409956361,0.005485217,0.016559453,0.115219053,1.619541597,0.117601423,0.027037336,0.443961238,0.694995021,0.792774053,0.001099079,0.771699803,0.00020847,0.134463417,0.186334179,0,2.033003483,0.318777235,2.366930037,0.851393173,0.771545168,0.09061514,0.467496672,3.134882404,1.123248016,0.023613284,0.582541695,0,0.098260334,0.017480757,0.349817625,0.064625829,0.041089261,0,0,0,0.024515338,0,0.00850873,0,0,0,0,0.032341037,0,0.000434095,0.03532669,0.000816458,0.000456182,0.002355383,0,0
SAT30,0,0,0.041178764,0.006803232,0.260938032,0,1.256757078,4.881900981,1.334149757,0.980042951,1.65670027,0.916069918,0.392174871,0.012498344,2.544042171,0.028225194,0.030091664,0.21842506,0.064924285,5.788246373,0.0122467,1.497944106,0.332925694,0.30941997,1.443801547,1.092221079,3.01042334,1.414577704,1.771743971,0.953804613,0.025706575,0.020721585,0.014327197,1.054419076,0.330780724,0.035326097,0.549736938,0.781467468,0.490101193,0.002064512,1.000753148,0.005656319,0.241046223,0,0.000312226,1.240909435,0.340609748,1.976596215,0.259320485,0.270383541,0.217478226,0.466369795,3.216425316,0.532286441,0.042798925,0.772575897,0,0.047511925,0.150912454,0.010357791,0.042894288,0,0,0,0,0.070986909,0,0,0,0,0,0,0.065973351,0,0.000622878,0.040311288,0,0.002697629,0.001536235,0,0
SAT31,0,0,0,0,0.240036979,0,2.460657716,4.078934787,1.478778511,0,0.022948582,0.035062469,0.416938264,0.011995055,3.087091036,0.198325703,0.131518274,0.36741646,0,5.913136614,0.01727959,1.957205979,0.390552288,0.564222447,1.927997494,0.997099452,3.036846014,0.00889144,2.958130901,0.002982073,0.004787459,0.120047558,0.336570405,1.542527339,0.401891698,0.167454874,0.633325449,0,0,0.000688171,1.255835093,0.601310252,0.016316306,0,0,1.603131422,0.62763023,1.643252808,0.021972625,0.022549201,0.076070243,0,0,0.936702209,0.219830842,0.555802122,0,0.164602273,0.10696542,0,0.000495888,0.001457053,0,0,0,0.160464611,0,0,0,0,0,0,0.192226624,0,0,0.053602527,0,0.000634736,0,0,0.000529513
