R_cpd,SAT01,SAT02,SAT03,SAT04,SAT05,SAT06,SAT07,SAT08,SAT09,SAT10,SAT11,SAT12,SAT13,SAT14,SAT15,SAT16,SAT17,SAT18,SAT19,SAT20,SAT21,SAT22,SAT23,SAT24,SAT25,SAT26,SAT27,SAT28,SAT29,SAT30,SAT31,SAT32,SAT33,SAT34,SAT35,SAT36,SAT37,SAT38,SAT39,SAT40,SAT41,SAT42
C17_0br,1.711231562,1.303045153,0.939743226,2.295690917,1.072085552,1.59996951,1.587238364,2.921974175,1.267462098,1.324475873,,2.386046038,0.92888503,1.443691708,1.879859351,1.574598504,,0.965814674,1.151756567,0.441026935,1.202106991,2.127825624,1.248562407,2.456344852,1.937812824,0.046757218,1.046335904,1.047493265,1.319823259,1.497944106,1.957205979,1.286670768,0.426278656,0.850540748,0.495574606,0.076951423,0.166101905,0.895948124,0.017743557,0.365625526,1.083178101,0.627205607
C16_1n7t,0.492467802,0.126709599,0.190689287,0.344807856,0.155969833,0.317259204,0.224266515,0.258347329,0.310183524,0.27400876,,0.141208704,0.065509914,0.092352977,0.289694743,0.025627825,,0.174115939,0.336407054,0.023183431,0.357404423,0.435731177,0.220634226,0.332742606,0.420960952,0.128354711,0.022354914,0.11328373,0.463714434,0.332925694,0.390552288,0.178680346,0.287397543,0.082229076,0.446435424,0.000228419,0.01290315,0.519459144,0,0.056474764,0.308306669,0.586133631
C17_0br,0.44685745,0.259106343,0.205034886,0.514880754,0.169163248,0.29029348,0.302172994,0.537316128,0.24841128,0.330036172,,0.394271661,0.081209006,0.95483869,0.299850805,0.039573824,,0.078559088,0.638963728,0.069112451,0.302201925,0.197063573,0.453721618,0.407781749,0.552658969,0.187474178,0.118800872,0.142850741,0.429397671,0.30941997,0.564222447,0.445864804,0.25868192,0.16587984,0.400711386,0.001508851,0.013554651,0.341980199,0.001731079,0.067708431,0.208896884,0.605360385
iC17_0,1.819286688,0.835065181,0.952071273,1.741521201,0.815646998,0.94210084,1.250088569,1.981726206,1.518913376,1.430373307,,1.428027369,0.473567123,0.872516249,0.633459647,0.918112727,,1.008174967,1.228079222,0.575274141,1.249011946,1.696129633,1.075242957,2.23682311,2.033504492,0.813352935,0.704144981,1.124831332,1.431553124,1.443801547,1.927997494,1.413187735,0.744621371,0.988309299,1.024751365,0.285604019,0.544023944,1.672347615,0.067728456,0.771002453,1.340074738,1.216350981
C16_1br,1.500289436,0.537624808,0.656487598,1.204948958,0.510688927,0.57563926,0.854918344,1.552270052,1.029112845,0.985727773,,1.010406048,0.120464111,0.209028263,0.560294729,0.337433028,,0.689208923,0.841228257,0.371022718,1.039628715,1.473849307,0.457958352,1.591448287,1.617519286,0.517980468,0.387171417,0.727906445,1.130067815,1.092221079,0.997099452,0.657959394,0.598041067,0.511674937,1.110476828,0.220043513,0.244754083,1.673603484,0.003286681,0.490528076,1.229420419,0.724871016
C16_1n7c,4.923537525,1.814881828,1.768459784,3.813818718,1.498726231,2.657820057,3.36798573,5.656939891,3.094471835,2.876403518,,4.031078129,0.927775097,2.213240436,3.644682532,1.98312769,,2.301867119,3.519004813,1.030082008,3.70588149,6.191827946,3.113212106,4.098141732,6.586025196,1.332152015,1.19563491,1.590483518,3.649912465,3.01042334,3.036846014,4.666555013,2.401977451,1.296954404,2.966627583,1.458226079,1.461707738,5.876999685,0.359089031,2.665886619,1.745773535,4.70434289
C16_1n9c,1.162701503,1.209162932,1.85104597,3.438264153,1.123378623,1.401476667,2.480381402,4.158228698,2.170671052,2.46707329,,2.364334644,0.645752095,0.731643797,0.303801482,0.19484913,,1.748595587,1.06086592,0.648170103,1.071345399,1.081105062,2.083585716,4.914976924,1.304195843,0.559978885,0.293986725,1.57853693,0.997440182,1.414577704,0.00889144,3.880921118,0.480041572,1.298759833,2.032173404,0.80388215,1.242922258,4.32600049,0.170448817,1.201554616,0.716354524,2.904973101
aC17_0,0.196307319,0.784403128,0.889782194,1.678572036,0.731819605,0.319517656,1.053731466,1.812198658,1.458330555,1.570703648,,0.950774256,0.260735656,1.02267848,0.247117661,0.327583325,,0.997135618,1.492107907,0.711012984,0.857243893,1.136745665,0.751786914,1.337818364,1.807056834,1.065619258,1.056550558,1.213285268,1.074745733,1.771743971,2.958130901,0.695730156,0.612547855,0.988309299,0.608496126,0.087728933,0.384125014,1.286592172,0.048470205,0.522228574,1.038851798,0.940470598
C18_0br,0.332476632,0.312710976,0.296673515,0.085969983,0.30433699,0.077371539,0.039988546,0.505375502,0.588158404,0.783637765,,0.265924148,0.144112932,0.586845554,0.123832005,0.176272523,,0.356867347,0.851081974,0.31195479,0.775872077,0.804858528,0.244631328,0.719654771,0.946876753,0.730412265,0.61970414,0.455784413,0.409956361,0.953804613,0.002982073,0.001311775,0.329511493,0.087973622,0.370962541,0.001041093,0.000443851,0.578485024,0.017140035,0.281032333,0.55877097,0.410513688
2OH-C12_0,0.006603634,0.003198844,0.01943196,9.51339E-05,0.0029278,0.001802625,0.006791479,9.68698E-05,0.02236436,0.010914849,,0.010775826,9.99764E-05,0.00445427,0,0,,0.008213745,0.00292688,0.000762698,0.005384005,0.001010145,0.007354185,0.003425283,0.023596851,0,0.003016969,0.005079079,0.005485217,0.025706575,0.004787459,0.00069435,0.000998001,0,0.008214988,0.001228104,0.003423407,0,0.001232859,0.000670073,0.005581226,0
C18_0br,0.022941373,0.037810103,0.05877757,0,0.034832916,0.000487929,0.007983453,0.020568021,0.066982376,0.151734808,,0.174384602,0.097911589,0.015789933,0.001136725,0.121337793,,0.079193634,0.065969989,0.021213246,0.019921817,0.015214016,0.247261772,0.405532088,0.072842277,0.011255862,0.072574097,0.049424241,0.016559453,0.020721585,0.120047558,0.098237344,0.001393128,0.071890009,0.006035502,0.023389885,0.07330941,0.008442948,0.001532849,0.039524567,0.010487798,0.003770838
C17_0,0.275590794,0.416530798,0.2903219,0.629781068,0.429552536,0.634994439,0.499710749,0.833786731,0.614586298,0.611635278,,0.556795299,0.148807139,0.544835666,0.611910399,0.373386362,,0.387489708,0.321350179,0.202696708,0.303616519,0.373690924,0.555799782,0.560259329,0.28556686,0.157490184,0.216802339,0.334737443,0.115219053,0.014327197,0.336570405,0.416065042,0,0.240068863,0.231405301,0.041241939,0.0290238,0.601817006,0.001803207,0.312186829,0,0.385181564
C17_1br,2.266608221,0.653116613,0.760175874,1.196865446,0.635443091,0.688259664,0.946612463,1.631171446,1.181105513,1.014360073,,1.038655379,0.181489088,0.160950789,0.552847525,0.28075274,,0.817793081,0.168620291,0.365288518,1.345822126,1.91056612,0.545214432,1.623944099,2.449355646,0.252934283,0.728371319,0.840555607,1.619541597,1.054419076,1.542527339,1.730691245,0.812508902,0.672202702,0.984826619,0.176485168,0.322760036,2.032865747,0.000871678,0.744575873,1.120949509,1.581742949
C18_0br,0.144717784,0.259417395,0.093180555,0.194376034,0.202544385,0.29861232,0.230094521,0.276921008,0.255483929,0.232832043,,0.223299942,0.130450849,0.109220523,0.196937646,0.21747357,,0.171365765,0.007833456,0.125118126,0.292354467,0.245576475,0.14119088,0.22804241,0.167173025,0.063663731,0.186619108,0.136164165,0.117601423,0.330780724,0.401891698,0.001093146,0.067969994,0.153056148,0.060502224,0.000832874,0.00798932,0.117414215,0.00041805,0.057809954,0.174822924,0.12726577
iC18_0,0.033684312,0.016382074,0.017131851,0.226247833,0.018734835,0.022375013,0.157388074,0.035655982,0.02244399,0.100831127,,0.258077901,0.099160274,0.017917075,0.013001295,0.123178389,,0.081590936,0.067966752,0.035302043,0.033227002,0.03718157,0.249323472,0.407456497,0.046983268,0.013119891,0.074433138,0.072879813,0.027037336,0.035326097,0.167454874,0.131614721,0.009458608,0.043089121,0.020093804,0.010827365,0.075232765,0.033056287,0.003344397,0.041353106,0.02957086,0.021102187
me10C16_0,0.681048637,0.578749544,0.334371238,0.824851124,0.46783874,0.296787742,0.702856598,1.348705478,1.016227963,0.655741162,,0.83266838,0.299971467,0.32039691,0.768712439,0.506105244,,0.587909517,0.433846593,0.326419597,0.598149855,1.028418321,0.730149581,0.961068485,1.013472035,0.177900081,0.234492936,0.384088748,0.443961238,0.549736938,0.633325449,0.5800769,0.166913598,0.227213562,0.166182075,0.145711937,0.195738345,0.818397059,0.004760467,0.280007123,0.160897131,0.550409516
C17_1br,0.964363469,0.18174557,0.28461217,0.004080637,0.190039731,0.237340942,0.082637232,0.525471078,0.809927998,0.429356453,,0.55617512,0.30983327,0.743512468,0.295014964,0.797680234,,0.387738547,0.690734689,0.311876444,0.554179694,0.759878098,0.52045891,1.612292137,0.909860478,0.294566787,0.394860595,0.262162521,0.694995021,0.781467468,0,0.98892301,0.440691864,0.371470178,0.405318233,0.246746382,0.001311092,1.446473643,0.018014678,0.473727692,0.973133798,0.97292085
C17_1,0.972962245,0,0.081535578,0.001165896,0,0,0.001189025,0.039028211,0.275831837,0,,0.029035775,0,0,0.024516684,0,,0.063947989,0,0,0.37685119,0.815973365,0,0,1.05536525,0,0,0,0.792774053,0.490101193,0,0,0.559636623,0,0,0,0,0,0,0.008431928,0.72074546,0
aC18_0,0.003118918,0.000207368,0,0.000419366,0.00041633,0.007528042,0.00256611,0.030531769,0.002307326,0.000836773,,0.000424121,0.000661068,0.000981758,0.015772063,0.000849506,,0.000495994,0.002534353,0.00024015,0.006041273,0.006234036,0.000639838,0.002220471,0.001092634,0.000645241,0.000214505,0,0.001099079,0.002064512,0.000688171,0.001311775,0.001099838,0,0.000220811,0,0.000443851,0.003863722,0,0.00042197,0.002838803,0.001522838
C18_0,1.121493513,0.724267376,0.63046604,1.775734459,0.859443218,0.954527803,1.421125918,1.577545891,1.183588381,1.049034218,,1.286289665,0.534290247,1.310564467,0.91705308,0.66509251,,0.716627989,1.011360632,0.343814684,0.941287888,1.184837842,1.190240539,1.352415096,1.048637414,0.532251733,0.577160704,0.598497861,0.771699803,1.000753148,1.255835093,0.690576463,0.427543728,0.5793841,0.563877783,0.164006822,0.272450613,1.229021306,0.111340551,0.481186993,0.685018828,0.700215539
C19_0br,0.000197196,0.368353837,0.357844062,0.382011102,0.280929861,0.335159748,0.277437869,0.616174209,0.416958865,0.555905988,,0.308310298,0.227164459,0.003724345,0.000404271,0.291850572,,0.416298572,0.002840557,0.145763275,0.000204624,0.009079571,0.335365835,0.461395328,0.001657984,0.000815917,0.274228371,0.214071647,0.00020847,0.005656319,0.601310252,0.53764564,0.000417229,0.248383589,0.13905112,0.022906729,0.127756102,0.344037428,0.009713585,0.077637122,0.001121785,0.26243907
C19_0br,0.214549346,0.054672913,0.126810742,0.000596582,0.059621095,0.049381525,0.02859557,0.080995624,0.096879278,0.033528948,,0.000402231,0.01421084,0.421316486,0.015766562,0.000201415,,0.045393008,0.639125298,0.043728983,0.231634104,0.208618986,0.158985251,0,0.337607034,0.197247945,0,0.082985264,0.134463417,0.241046223,0.016316306,0.036700069,0.060289576,0.000425679,0,0.000592415,0.001262828,0.250190532,0.000792946,0.008404018,0.154806314,0.082940649
C18_1n9t,0.338449132,0.000889518,0.096651383,0,0,0.046230005,0.009384589,0.223892449,0.034537148,0.165526065,,0.044782655,0,0,0.043321862,0,,0.022912563,0.023110945,0,0.102589768,0.190054126,0,0,0.283666955,0,0,0.010478545,0.186334179,0,0,0,0.034476406,0,0.0492535,0,0,0.236989396,0,0,0.129812292,0.21779151
3OH-C12_0,0.000283013,0,0,0,0,0,0,0.000290609,0,0,,0,0,0,0.000290102,0,,0,0,0,0,0,0,0,0.000297439,0,0,0,0,0.000312226,0,0,0,0,0,0,0,0.000584328,0,0,0,0
iC19_0,3.168152381,1.575681228,1.467834338,3.061656913,1.254609464,2.2362493,2.12398158,2.900453295,2.044809245,1.87563712,,2.172250183,0.891521235,1.256733541,2.333653355,1.060652253,,1.327686688,2.014610342,0.767079237,2.368929351,2.998792343,1.89609128,2.499663413,2.691530109,0.71678312,0.848114303,0.911754544,2.033003483,1.240909435,1.603131422,2.678482983,1.275051526,0.946709686,1.649347324,0.699050169,0.310234753,3.575342806,0.130043102,1.130340466,0.997715473,2.45562092
C18_1n9c,0.414125068,0.38817199,0.386536594,0.573501752,0.295081014,0.34962304,0.403890146,0.644201559,0.652814385,0.610265195,,0.472736905,0.248450462,0.274302058,0.344324406,0.366433183,,0.435502362,0.589557176,0.239625991,0.571754631,0.647080304,0.466374989,0.641388763,0.377477507,0.269115264,0.328911573,0.398260107,0.318777235,0.340609748,0.62763023,0.561178951,0.108655116,0.259255598,0.314537515,0.010305767,0.13334812,0.359096305,0.013035547,0.128654108,0.182658306,0.273926302
C18_1ntc_1,3.266414905,1.208376051,1.433777078,2.693915338,1.096182006,1.468182168,2.655485981,4.26713082,2.261525661,2.177792884,,2.665267717,0.450584582,2.01357309,1.436724529,0.924317018,,1.882594388,2.294521558,0.861195524,2.472975828,4.504363609,2.293590957,2.385242309,2.980810439,0.927354734,0.557741165,1.091577957,2.366930037,1.976596215,1.643252808,2.971384471,1.400903404,0.878995701,1.68365367,0.902098163,0.469391242,4.147597737,0.218845461,1.75534885,2.052720285,2.726270184
aC19_0,0.973951488,0.005309959,0.02219188,0.17976993,0.002171629,0.014675634,0.095724177,0.01498419,0.001790377,0.014681314,,0.088289772,0.002716778,0.054701312,0.145133227,0.003424058,,0.024930875,0.021413429,0.001366531,0.508080814,0.926327419,0.049151929,0.030324476,0.979039673,0.006935295,0.003254936,0.001083359,0.851393173,0.259320485,0.021972625,0.053909705,0.477518479,0.004043949,0.014030761,0.002764605,0.004630369,0.003257159,0.000198236,0.007603636,0.771114927,0.00371376
C20_0br,0.59705653,0.006545451,0.022798461,0.186074908,0.002628241,0.019990107,0.098740131,0.015211525,0.002270007,0.015092713,,0.091415085,0.002782166,0.056443528,0.108985711,0.003447536,,0.034666296,0.022024705,0.001516039,0.197694177,0.481693989,0.05097113,0.031439423,0.638724429,0.009116496,0.003482083,0.001236225,0.771545168,0.270383541,0.022549201,0.055798708,0.439798938,0.012953171,0.014337816,0.002816699,0.00140099,0.00329088,0.000188507,0.007801276,0.758870266,0.003727684
C18_1ntc_2,0.250176106,1.284551242,2.398043967,7.67435977,1.3581896,0.119917117,3.043231128,0.432044158,2.191752764,0.103496654,,1.029242881,0.034412525,0.107230089,0.240271629,0.013226262,,0.876735768,0.040350475,0.193515932,0.470157209,0.46383236,0.209485656,0.199355352,0.160133641,0.007683219,0.006848928,0.75936211,0.09061514,0.217478226,0.076070243,0.089089244,0.076074737,0.546287814,0.51529888,0,0,0.263762028,0,0.002934737,0,0.110312439
C18_2n6t,0,0,0,0,0,0,0,0,0,0,,0,0,0,0.142741863,0,,0,0,0,0.379310036,0.418927194,0,0,0.404428715,0,0,0,0.467496672,0.466369795,0,0,0.492153313,0,0,0,0,0,0,0,0.573380378,0
2OH-C14_0,0,0,0,0,0,0,0,0,0,0,,0,0,0,3.074802733,0,,0,0,0,3.083797576,3.25248034,0,0,3.142304757,0,0,0,3.134882404,3.216425316,0,0,3.125386471,0,0,0,0,0,0,0,3.366081043,0
C18_2n6c,2.433696101,1.744942149,1.426562635,3.704935939,1.396684434,2.529253296,1.756160078,2.335174768,3.022873101,1.910409126,,2.512713989,0.96042421,2.079488877,2.242519975,0.695785839,,1.015399641,4.865383845,1.108683605,0.925123704,1.432813842,2.605160792,1.335143091,1.144320559,0.301449079,0.18156843,0.65468152,1.123248016,0.532286441,0.936702209,3.275800646,1.005863453,0.921560967,1.933982819,0.517190914,0.546371703,1.72600678,0.161931169,1.012730559,1.082711275,2.068881613
me10C18_0,0.030565394,0.02266692,0.034452538,0.83084827,0.050804229,0.056946901,0.393338589,0.886850162,0.027671778,0.110586772,,0.048557828,0.255816556,0.000231279,0.042377171,0.007604714,,0.057721247,0.181498699,0.038017585,0.146384695,0.06650637,0.037582269,0.05879552,0.012355171,0.000405343,0.033755618,0.066737664,0.023613284,0.042798925,0.219830842,0.056448353,0.000207277,0.100662125,0.038077165,0.000392412,0.000418244,0.047735128,0.002363588,0.005566764,0.000445838,0.057604286
C19_1br,0.516105277,0.945042054,0.383966183,1.788823754,0.760899246,1.495723028,1.510777763,2.196055216,1.201401828,0.650838112,,2.154642987,1.107089402,0.02819206,1.908206436,0.641280596,,0.476841419,0.361627106,0.28661897,0.752619059,1.141749456,0.456097729,0.80104514,0.568070427,0.134542424,0.246797432,0.302983961,0.582541695,0.772575897,0.555802122,0.172448675,0.109883824,0.190514305,0.122319277,0.00046376,0.001553479,0.315810478,0.008246979,0.161787314,0.272632576,0.287055014
C18_3n6c,0,0,0.003004812,0,0,0,0,0,0.006805288,0,,0,0,0,0,0,,0,0,0,0.002670119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C20_0,0.140950845,0.103168771,0.105450733,0.320462341,0.148620753,0.168910114,0.294998997,0.268929489,0.223154339,0.221045353,,0.331746236,0.054980891,0.152434417,0.162933958,0.207745943,,0.126289691,0.090107362,0.016387656,0.147038287,0.177029401,0.44271151,0.278482529,0.132172534,0.017198497,0.048491227,0.073280675,0.098260334,0.047511925,0.164602273,0.034438778,0.045361911,0.062876852,0.060072794,0,0,0.146089246,0,0.00012685,0.122175908,0.065855748
3OH-C14_0,0.019792345,0.112937384,0.015104251,0.097017865,0.220722976,0.283458536,0.054366824,0.034472933,0.172368609,0.149471978,,0.396049475,0.100363202,0.385341836,0.316905251,0.10901183,,0.054384471,0.056354428,0.028068018,0.030936765,0.129573408,0.150849634,0.049228942,0.019748019,0.002073232,0.006719976,0.015415659,0.017480757,0.150912454,0.10696542,0.005268603,0,0.008112322,0.005055125,0.001254432,0.002941423,0.019139147,0.00226672,0.002542199,0.058719002,0.052163452
C18_3n3,0.141247588,0.0068665,0.203768199,0.197985013,0.179215004,0.153592605,0.150200631,0.075197388,0.109866809,0.187447112,,0.110009577,0,0.1438258,0.164247097,0,,0.047280203,1.7516668,0.530374042,0.107382083,0.005361696,0.311594469,0.018492813,0.029821081,0,0,0.034386465,0.349817625,0.010357791,0,2.591699538,0.585565813,1.318928764,2.664536574,0.109269975,0.268332998,0.731228045,0.10780544,0.200273234,0.207465116,3.986863352
2OH-C16_0,0.005618639,0,0,0,0,0.012431417,0.003004801,0.000923112,0.026526539,0.011305662,,0.001604489,0.000952716,0.003183493,0.00138225,0.003443311,,0,0.204703253,0.071382808,0.065299055,0.081099761,0.001613709,0.001680048,0.008503265,0.000464953,0.001854835,0.000246942,0.064625829,0.042894288,0.000495888,0.001181562,0.278891445,0,0,0.001350359,0.002158879,0.000928051,0.000903725,0.002052452,0.046026174,0.006348892
