,SAT01,SAT10,SAT11,SAT12,SAT13,SAT14,SAT15,SAT16,SAT17,SAT18,SAT19,SAT02,SAT20,SAT21,SAT22,SAT23,SAT24,SAT25,SAT26,SAT27,SAT28,SAT29,SAT03,SAT30,SAT31,SAT32,SAT33,SAT34,SAT35,SAT36,SAT37,SAT38,SAT39,SAT04,SAT40,SAT41,SAT42,SAT05,SAT06,SAT07,SAT08,SAT09,taxonomy
Otu529,1,0,0,0,0,0,0,0,2,0,2,0,0,0,1,0,1,0,0,0,2,0,1,0,0,46,8,1,9,0,3,24,6,0,0,0,0,0,3,0,1,0,Bacteria;Cyanobacteria;Cyanobacteria;uncultured;uncultured bacterium
Otu869,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,5,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Bacteria;Chloroflexi;Chloroflexia;Kallotenuales;AKIW781;uncultured bacterium
Otu1376,33,9,2,0,1,0,2,4,27,39,89,4,87,15,25,8,29,58,59,33,30,43,21,20,42,55,49,12,43,57,29,60,39,2,50,49,35,6,4,2,3,17,Bacteria;Actinobacteria;Actinobacteria;Frankiales;Geodermatophilaceae;Blastococcus;uncultured bacterium
Otu3299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,13,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales;0319-6M6
Otu2723,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Bacteria;Proteobacteria;Betaproteobacteria
Otu2306,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,1,1,0,0,2,0,0,0,0,0,0,0,Bacteria;Acidobacteria;Solibacteres;Solibacterales;Solibacteraceae (Subgroup 3);Bryobacter;uncultured bacterium
Otu233,2,15,20,5,11,24,0,18,0,2,0,8,2,2,1,2,2,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,4,1,0,0,10,5,1,4,6,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae
Otu2312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria;Chloroflexi;Thermomicrobia;JG30-KF-CM45;uncultured bacterium
Otu1747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,Bacteria;Acidobacteria;Blastocatellia;Blastocatellales;Blastocatellaceae (Subgroup 4);DS-100
Otu2195,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,4,0,0,0,3,0,0,0,2,0,0,0,0,0,Bacteria;Gemmatimonadetes;BD2-11 terrestrial group;uncultured bacterium
Otu1935,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria;Planctomycetes;Planctomycetacia;Planctomycetales;Planctomycetaceae;uncultured;uncultured bacterium
Otu220,3,1,0,0,0,2,0,0,1,0,0,0,1,0,0,0,1,5,6,1,1,2,1,0,0,17,4,3,13,26,6,17,0,0,8,4,5,0,1,0,0,0,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rubellimicrobium;uncultured bacterium
Otu2403,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Bacteria;Planctomycetes;Planctomycetacia;Planctomycetales;Planctomycetaceae;uncultured
Otu323,0,0,1,1,0,0,0,1,1,6,3,0,2,1,0,0,3,0,7,10,11,5,0,7,12,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae
Otu2758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,0,1,0,0,2,0,2,0,0,1,1,0,0,1,Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Microbacteriaceae;Amnibacterium;uncultured bacterium
Otu2115,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria;Planctomycetes;Planctomycetacia;Planctomycetales;Planctomycetaceae;Gemmata;uncultured bacterium
Otu1808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfurellales
Otu2665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;uncultured;uncultured organism
Otu517,2,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,8,2,3,6,4,1,21,1,0,1,0,2,0,0,0,0,0,Bacteria;Chloroflexi;TK10
Otu1456,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae
Otu464,2,6,0,0,0,0,0,0,6,12,11,6,21,3,4,8,11,13,13,10,6,6,2,5,11,18,9,3,6,12,14,11,4,0,7,6,4,0,0,0,2,0,Bacteria;Actinobacteria;Actinobacteria;Frankiales;Geodermatophilaceae;Modestobacter;uncultured bacterium
Otu2771,2,0,0,0,0,0,0,0,1,1,0,1,0,0,0,2,3,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,2,Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;uncultured;uncultured bacterium
Otu1043,0,1,0,0,0,0,0,0,0,3,0,1,3,1,1,3,1,0,0,1,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,Bacteria;Actinobacteria;Actinobacteria;Frankiales
Otu2876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Archangiaceae;Anaeromyxobacter;uncultured bacterium
Otu661,0,1,0,0,0,0,0,1,0,0,5,0,3,1,0,1,10,0,0,1,0,0,8,0,2,0,1,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,Bacteria;Chloroflexi;Thermomicrobia;JG30-KF-CM45;uncultured bacterium
Otu844,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,2,2,0,0,0,0,0,0,Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales
Otu326,3,0,1,0,1,2,0,0,5,5,9,1,6,4,2,1,4,9,11,3,9,8,6,5,3,8,5,16,11,3,10,8,4,1,2,2,9,0,0,2,1,0,Bacteria;Actinobacteria;Thermoleophilia;Gaiellales;uncultured;uncultured bacterium
Otu3351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,Bacteria;Cyanobacteria;Cyanobacteria
Otu2745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,Bacteria;Gemmatimonadetes;Longimicrobia;Longimicrobiales;Longimicrobiaceae;uncultured bacterium
