,SAT01,SAT10,SAT11,SAT12,SAT13,SAT14,SAT15,SAT16,SAT17,SAT18,SAT19,SAT02,SAT20,SAT21,SAT22,SAT23,SAT24,SAT25,SAT26,SAT27,SAT28,SAT29,SAT03,SAT30,SAT31,SAT32,SAT33,SAT34,SAT35,SAT36,SAT37,SAT38,SAT39,SAT04,SAT40,SAT41,SAT42,SAT05,SAT06,SAT07,SAT08,SAT09,taxonomy
Otu37,0,2,90,26,22,2,0,0,0,2,1,34,0,0,0,2,4,0,2,3,0,2,1,2,1,2,0,0,0,1,1,1,0,188,1,0,2,1,3,18,69,2,Eukaryota;Opisthokonta;Nucletmycea;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Agaricomycetes;Russulales
Otu2325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;SAR;Stramenopiles;Peronosporomycetes;Lagenidium
Otu2443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;SAR;Alveolata;Ciliophora;Intramacronucleata;Spirotrichea;Hypotrichia
Otu535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,26,0,6,0,0,0,0,0,0,1,Eukaryota;Amoebozoa;Gracilipodida;Flamella
Otu2098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,0,0,0,1,0,0,1,0,0,0,0,Eukaryota;Opisthokonta;Nucletmycea;Fungi;Dikarya
Otu2587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,1,0,0,Eukaryota;SAR;Rhizaria;Cercozoa
Otu2592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina;Eurotiomycetes
Otu1290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,3,0,Eukaryota;SAR;Rhizaria;Cercozoa;Cercomonadidae;Cercomonas
Otu817,0,0,0,1,2,1,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,0,Eukaryota;Opisthokonta;Nucletmycea;Fungi;Dikarya;Basidiomycota;Pucciniomycotina;Microbotryomycetes;Sporidiobolales;Incertae Sedis;Rhodotorula
Otu409,0,1,0,0,0,3,0,0,1,94,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,Eukaryota;Opisthokonta;Holozoa;Metazoa (Animalia);Eumetazoa;Bilateria;Arthropoda;Hexapoda;Ellipura;Collembola
Otu129,1,42,12,18,0,5,1,6,9,16,0,38,5,32,45,50,13,7,0,13,14,0,12,5,8,0,20,8,14,3,4,23,15,0,22,1,21,0,32,7,1,11,Eukaryota;SAR;Alveolata;Ciliophora;Intramacronucleata;Spirotrichea;Hypotrichia;Gonostomum
Otu2,59,158,515,354,262,223,235,266,76,488,80,192,50,266,662,360,214,54,59,147,70,467,84,698,544,265,48,101,44,48,33,39,1214,244,27,60,29,744,209,482,102,264,Eukaryota;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina;Eurotiomycetes;Chaetothyriales;Herpotrichiellaceae;Exophiala
Otu1295,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,2,1,0,0,0,0,1,1,2,1,0,2,0,3,0,4,1,0,0,0,0,Eukaryota;SAR;Alveolata;Ciliophora;Intramacronucleata;Spirotrichea;Hypotrichia
Otu199,31,14,4,5,0,0,3,0,8,1,7,0,8,2,0,6,5,2,30,0,0,0,2,0,3,0,71,2,34,1,88,35,23,0,67,12,0,0,0,0,0,22,Eukaryota;Opisthokonta;Holozoa;Metazoa (Animalia);Eumetazoa;Bilateria;Nematoda;Chromadorea;Rhabditida
Otu2217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,Eukaryota;SAR;Rhizaria;Cercozoa;Glissomonadida
Otu1993,2,9,41,20,0,0,0,4,0,0,1,7,1,1,1,3,1,0,1,0,1,0,0,3,0,0,0,0,1,0,0,0,0,1,1,0,0,8,1,1,11,11,Eukaryota;Opisthokonta;Nucletmycea;Fungi
Otu134,0,2,0,2,0,2,0,4,0,103,0,6,0,0,352,0,2,0,2,0,8,0,0,2,0,1,0,2,0,1,0,89,0,0,6,0,2,0,3,0,6,0,Eukaryota;Opisthokonta;Holozoa;Metazoa (Animalia);Eumetazoa;Bilateria;Arthropoda;Hexapoda;Ellipura;Collembola
Otu285,2,2,34,52,81,63,158,23,2,21,36,15,0,0,9,24,6,3,4,4,2,6,6,1,2,1,3,2,2,2,3,1,2,56,2,4,1,23,59,89,38,12,Eukaryota;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina;Leotiomycetes
Otu251,1,4,1,0,0,0,0,1,0,0,0,0,0,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,5,Eukaryota;SAR;Rhizaria;Cercozoa;Phytomyxea
