,SAT01,SAT10,SAT11,SAT12,SAT13,SAT14,SAT15,SAT16,SAT17,SAT18,SAT19,SAT02,SAT20,SAT21,SAT22,SAT23,SAT24,SAT25,SAT26,SAT27,SAT28,SAT29,SAT03,SAT30,SAT31,SAT32,SAT33,SAT34,SAT35,SAT36,SAT37,SAT38,SAT39,SAT04,SAT40,SAT41,SAT42,SAT05,SAT06,SAT07,SAT08,SAT09
Otu467,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,36,0,0,0,0,0
Otu848,0,0,4,2,1,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Otu1601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0
Otu1430,2,0,1,0,0,0,0,1,2,2,0,0,0,1,0,0,0,0,2,0,1,0,1,3,1,5,4,1,3,4,3,4,3,0,5,9,1,0,0,0,0,0
Otu2290,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu2286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0,0,0,0,0
Otu2487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Otu546,0,1,0,4,2,0,0,3,0,2,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,2,1
Otu2372,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu734,1,7,1,6,3,1,0,7,2,0,7,2,1,2,5,0,4,3,2,0,1,1,0,2,3,1,0,5,1,2,2,3,1,3,2,1,2,3,3,8,6,3
Otu1543,0,0,0,2,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,0
Otu2100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,1,2,0,0,0,0,0
Otu10,96,2,9,0,3,1,7,2,65,21,46,0,9,12,24,4,53,59,24,21,63,48,110,13,52,46,60,63,51,42,41,75,9,1,43,27,71,6,2,5,8,5
Otu2530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Otu652,2,0,0,1,0,0,0,1,2,5,4,0,2,3,2,0,2,0,1,2,3,0,4,1,1,1,5,0,2,6,1,2,0,0,2,2,2,0,0,0,2,0
Otu1583,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,1,6,0,0,0,0,1,4,1,1,1,0,0,0,1,3,0,0,0,0,1
Otu1844,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0
Otu1658,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
Otu2429,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu369,0,3,4,14,2,6,0,4,1,0,0,5,0,4,0,2,2,0,1,10,1,0,0,0,0,0,1,1,0,0,0,0,0,15,0,0,0,2,6,16,7,4
